generation,ant_id,bandwidth,delay,hops,is_optimal,optimal_index,is_unique_optimal,quality_score
0,0,90.0,5.0,1,1,0,1,1.0
0,1,90.0,5.0,1,1,0,1,1.0
0,2,90.0,5.0,1,1,0,1,1.0
0,3,10.0,25.0,7,0,-1,0,0.1111111111111111
0,4,10.0,40.0,8,0,-1,0,0.1111111111111111
0,5,10.0,23.0,9,0,-1,0,0.1111111111111111
0,6,20.0,49.0,9,0,-1,0,0.2222222222222222
0,7,10.0,53.0,10,0,-1,0,0.1111111111111111
0,8,-1,-1,-1,-1,-1,-1,-1
0,9,-1,-1,-1,-1,-1,-1,-1
1,0,90.0,5.0,1,1,0,1,1.0
1,1,90.0,5.0,1,1,0,1,1.0
1,2,90.0,5.0,1,1,0,1,1.0
1,3,90.0,5.0,1,1,0,1,1.0
1,4,90.0,5.0,1,1,0,1,1.0
1,5,40.0,21.0,3,0,-1,0,0.4444444444444444
1,6,20.0,15.0,4,0,-1,0,0.2222222222222222
1,7,10.0,18.0,4,0,-1,0,0.1111111111111111
1,8,30.0,24.0,6,0,-1,0,0.3333333333333333
1,9,10.0,27.0,7,0,-1,0,0.1111111111111111
2,0,90.0,5.0,1,1,0,1,1.0
2,1,90.0,5.0,1,1,0,1,1.0
2,2,90.0,5.0,1,1,0,1,1.0
2,3,90.0,5.0,1,1,0,1,1.0
2,4,90.0,5.0,1,1,0,1,1.0
2,5,90.0,5.0,1,1,0,1,1.0
2,6,90.0,5.0,1,1,0,1,1.0
2,7,10.0,25.0,8,0,-1,0,0.1111111111111111
2,8,10.0,52.0,11,0,-1,0,0.1111111111111111
2,9,-1,-1,-1,-1,-1,-1,-1
3,0,90.0,5.0,1,1,0,1,1.0
3,1,90.0,5.0,1,1,0,1,1.0
3,2,90.0,5.0,1,1,0,1,1.0
3,3,90.0,5.0,1,1,0,1,1.0
3,4,90.0,5.0,1,1,0,1,1.0
3,5,90.0,5.0,1,1,0,1,1.0
3,6,90.0,5.0,1,1,0,1,1.0
3,7,10.0,24.0,7,0,-1,0,0.1111111111111111
3,8,10.0,32.0,9,0,-1,0,0.1111111111111111
3,9,10.0,34.0,12,0,-1,0,0.1111111111111111
4,0,90.0,5.0,1,1,0,1,1.0
4,1,90.0,5.0,1,1,0,1,1.0
4,2,90.0,5.0,1,1,0,1,1.0
4,3,90.0,5.0,1,1,0,1,1.0
4,4,90.0,5.0,1,1,0,1,1.0
4,5,90.0,5.0,1,1,0,1,1.0
4,6,90.0,5.0,1,1,0,1,1.0
4,7,90.0,5.0,1,1,0,1,1.0
4,8,20.0,29.0,5,0,-1,0,0.2222222222222222
4,9,10.0,39.0,8,0,-1,0,0.1111111111111111
