generation,ant_id,bandwidth,delay,hops,is_optimal,optimal_index,is_unique_optimal,quality_score
0,0,100.0,10.0,1,1,0,1,1.0
0,1,100.0,10.0,1,1,0,1,1.0
0,2,20.0,7.0,2,0,-1,0,0.2
0,3,20.0,7.0,2,0,-1,0,0.2
0,4,20.0,13.0,3,0,-1,0,0.2
0,5,30.0,26.0,4,0,-1,0,0.3
0,6,20.0,36.0,6,0,-1,0,0.2
0,7,10.0,31.0,6,0,-1,0,0.1
0,8,10.0,32.0,7,0,-1,0,0.1
0,9,20.0,51.0,8,0,-1,0,0.2
1,0,100.0,10.0,1,1,0,1,1.0
1,1,100.0,10.0,1,1,0,1,1.0
1,2,100.0,10.0,1,1,0,1,1.0
1,3,30.0,56.0,8,0,-1,0,0.3
1,4,10.0,61.0,11,0,-1,0,0.1
1,5,10.0,67.0,11,0,-1,0,0.1
1,6,-1,-1,-1,-1,-1,-1,-1
1,7,-1,-1,-1,-1,-1,-1,-1
1,8,-1,-1,-1,-1,-1,-1,-1
1,9,-1,-1,-1,-1,-1,-1,-1
2,0,100.0,10.0,1,1,0,1,1.0
2,1,100.0,10.0,1,1,0,1,1.0
2,2,100.0,10.0,1,1,0,1,1.0
2,3,100.0,10.0,1,1,0,1,1.0
2,4,100.0,10.0,1,1,0,1,1.0
2,5,10.0,57.0,11,0,-1,0,0.1
2,6,20.0,72.0,12,0,-1,0,0.2
2,7,10.0,70.0,13,0,-1,0,0.1
2,8,-1,-1,-1,-1,-1,-1,-1
2,9,-1,-1,-1,-1,-1,-1,-1
3,0,100.0,10.0,1,1,0,1,1.0
3,1,100.0,10.0,1,1,0,1,1.0
3,2,100.0,10.0,1,1,0,1,1.0
3,3,100.0,10.0,1,1,0,1,1.0
3,4,100.0,10.0,1,1,0,1,1.0
3,5,100.0,10.0,1,1,0,1,1.0
3,6,100.0,10.0,1,1,0,1,1.0
3,7,100.0,10.0,1,1,0,1,1.0
3,8,100.0,10.0,1,1,0,1,1.0
3,9,20.0,44.0,8,0,-1,0,0.2
4,0,100.0,10.0,1,1,0,1,1.0
4,1,100.0,10.0,1,1,0,1,1.0
4,2,100.0,10.0,1,1,0,1,1.0
4,3,100.0,10.0,1,1,0,1,1.0
4,4,100.0,10.0,1,1,0,1,1.0
4,5,100.0,10.0,1,1,0,1,1.0
4,6,100.0,10.0,1,1,0,1,1.0
4,7,100.0,10.0,1,1,0,1,1.0
4,8,10.0,25.0,6,0,-1,0,0.1
4,9,-1,-1,-1,-1,-1,-1,-1
