generation,ant_id,bandwidth,delay,hops,is_optimal,optimal_index,is_unique_optimal,quality_score
0,0,50.0,10.0,1,0,-1,0,0.5555555555555556
0,1,50.0,10.0,1,0,-1,0,0.5555555555555556
0,2,50.0,10.0,1,0,-1,0,0.5555555555555556
0,3,50.0,10.0,1,0,-1,0,0.5555555555555556
0,4,30.0,35.0,6,0,-1,0,0.3333333333333333
0,5,10.0,38.0,7,0,-1,0,0.1111111111111111
0,6,-1,-1,-1,-1,-1,-1,-1
0,7,-1,-1,-1,-1,-1,-1,-1
0,8,-1,-1,-1,-1,-1,-1,-1
0,9,-1,-1,-1,-1,-1,-1,-1
1,0,50.0,10.0,1,0,-1,0,0.5555555555555556
1,1,50.0,10.0,1,0,-1,0,0.5555555555555556
1,2,50.0,10.0,1,0,-1,0,0.5555555555555556
1,3,50.0,10.0,1,0,-1,0,0.5555555555555556
1,4,50.0,10.0,1,0,-1,0,0.5555555555555556
1,5,50.0,10.0,1,0,-1,0,0.5555555555555556
1,6,50.0,10.0,1,0,-1,0,0.5555555555555556
1,7,50.0,10.0,1,0,-1,0,0.5555555555555556
1,8,20.0,11.0,2,0,-1,0,0.2222222222222222
1,9,-1,-1,-1,-1,-1,-1,-1
2,0,50.0,10.0,1,0,-1,0,0.5555555555555556
2,1,50.0,10.0,1,0,-1,0,0.5555555555555556
2,2,50.0,10.0,1,0,-1,0,0.5555555555555556
2,3,50.0,10.0,1,0,-1,0,0.5555555555555556
2,4,50.0,10.0,1,0,-1,0,0.5555555555555556
2,5,50.0,10.0,1,0,-1,0,0.5555555555555556
2,6,20.0,46.0,8,0,-1,0,0.2222222222222222
2,7,-1,-1,-1,-1,-1,-1,-1
2,8,-1,-1,-1,-1,-1,-1,-1
2,9,-1,-1,-1,-1,-1,-1,-1
3,0,50.0,10.0,1,0,-1,0,0.5555555555555556
3,1,50.0,10.0,1,0,-1,0,0.5555555555555556
3,2,50.0,10.0,1,0,-1,0,0.5555555555555556
3,3,50.0,10.0,1,0,-1,0,0.5555555555555556
3,4,50.0,10.0,1,0,-1,0,0.5555555555555556
3,5,20.0,29.0,5,0,-1,0,0.2222222222222222
3,6,-1,-1,-1,-1,-1,-1,-1
3,7,-1,-1,-1,-1,-1,-1,-1
3,8,-1,-1,-1,-1,-1,-1,-1
3,9,-1,-1,-1,-1,-1,-1,-1
4,0,50.0,10.0,1,0,-1,0,0.5555555555555556
4,1,50.0,10.0,1,0,-1,0,0.5555555555555556
4,2,50.0,10.0,1,0,-1,0,0.5555555555555556
4,3,50.0,10.0,1,0,-1,0,0.5555555555555556
4,4,50.0,10.0,1,0,-1,0,0.5555555555555556
4,5,50.0,10.0,1,0,-1,0,0.5555555555555556
4,6,50.0,10.0,1,0,-1,0,0.5555555555555556
4,7,20.0,27.0,4,0,-1,0,0.2222222222222222
4,8,10.0,48.0,7,0,-1,0,0.1111111111111111
4,9,20.0,46.0,8,0,-1,0,0.2222222222222222
