generation,ant_id,bandwidth,delay,hops,is_optimal,optimal_index,is_unique_optimal,quality_score
0,0,30.0,24.0,4,0,-1,0,0.3
0,1,30.0,35.0,5,0,-1,0,0.3
0,2,20.0,26.0,5,0,-1,0,0.2
0,3,10.0,37.0,6,0,-1,0,0.1
0,4,10.0,41.0,8,0,-1,0,0.1
0,5,10.0,68.0,10,0,-1,0,0.1
0,6,10.0,81.0,11,0,-1,0,0.1
0,7,-1,-1,-1,-1,-1,-1,-1
0,8,-1,-1,-1,-1,-1,-1,-1
0,9,-1,-1,-1,-1,-1,-1,-1
1,0,30.0,9.0,2,0,-1,0,0.3
1,1,40.0,20.0,3,0,-1,0,0.4
1,2,10.0,38.0,6,0,-1,0,0.1
1,3,20.0,69.0,9,0,-1,0,0.2
1,4,-1,-1,-1,-1,-1,-1,-1
1,5,-1,-1,-1,-1,-1,-1,-1
1,6,-1,-1,-1,-1,-1,-1,-1
1,7,-1,-1,-1,-1,-1,-1,-1
1,8,-1,-1,-1,-1,-1,-1,-1
1,9,-1,-1,-1,-1,-1,-1,-1
2,0,30.0,9.0,2,0,-1,0,0.3
2,1,30.0,16.0,2,0,-1,0,0.3
2,2,30.0,16.0,2,0,-1,0,0.3
2,3,30.0,16.0,2,0,-1,0,0.3
2,4,10.0,15.0,3,0,-1,0,0.1
2,5,10.0,26.0,4,0,-1,0,0.1
2,6,20.0,29.0,4,0,-1,0,0.2
2,7,10.0,60.0,8,0,-1,0,0.1
2,8,20.0,66.0,9,0,-1,0,0.2
2,9,-1,-1,-1,-1,-1,-1,-1
3,0,90.0,11.0,2,0,-1,0,0.9
3,1,30.0,9.0,2,0,-1,0,0.3
3,2,10.0,26.0,4,0,-1,0,0.1
3,3,10.0,31.0,5,0,-1,0,0.1
3,4,10.0,42.0,6,0,-1,0,0.1
3,5,10.0,52.0,7,0,-1,0,0.1
3,6,10.0,53.0,8,0,-1,0,0.1
3,7,10.0,47.0,9,0,-1,0,0.1
3,8,-1,-1,-1,-1,-1,-1,-1
3,9,-1,-1,-1,-1,-1,-1,-1
4,0,90.0,11.0,2,0,-1,0,0.9
4,1,30.0,31.0,4,0,-1,0,0.3
4,2,10.0,36.0,5,0,-1,0,0.1
4,3,30.0,56.0,9,0,-1,0,0.3
4,4,10.0,49.0,9,0,-1,0,0.1
4,5,10.0,71.0,10,0,-1,0,0.1
4,6,-1,-1,-1,-1,-1,-1,-1
4,7,-1,-1,-1,-1,-1,-1,-1
4,8,-1,-1,-1,-1,-1,-1,-1
4,9,-1,-1,-1,-1,-1,-1,-1
