generation,ant_id,bandwidth,delay,hops,is_optimal,optimal_index,is_unique_optimal,quality_score
0,0,20.0,12.0,2,0,-1,0,0.2222222222222222
0,1,40.0,42.0,8,0,-1,0,0.4444444444444444
0,2,10.0,38.0,8,0,-1,0,0.1111111111111111
0,3,10.0,64.0,12,0,-1,0,0.1111111111111111
0,4,-1,-1,-1,-1,-1,-1,-1
0,5,-1,-1,-1,-1,-1,-1,-1
0,6,-1,-1,-1,-1,-1,-1,-1
0,7,-1,-1,-1,-1,-1,-1,-1
0,8,-1,-1,-1,-1,-1,-1,-1
0,9,-1,-1,-1,-1,-1,-1,-1
1,0,10.0,29.0,5,0,-1,0,0.1111111111111111
1,1,20.0,37.0,5,0,-1,0,0.2222222222222222
1,2,10.0,40.0,7,0,-1,0,0.1111111111111111
1,3,40.0,42.0,8,0,-1,0,0.4444444444444444
1,4,40.0,39.0,9,0,-1,0,0.4444444444444444
1,5,10.0,50.0,10,0,-1,0,0.1111111111111111
1,6,10.0,62.0,11,0,-1,0,0.1111111111111111
1,7,10.0,44.0,11,0,-1,0,0.1111111111111111
1,8,-1,-1,-1,-1,-1,-1,-1
1,9,-1,-1,-1,-1,-1,-1,-1
2,0,20.0,18.0,3,0,-1,0,0.2222222222222222
2,1,40.0,32.0,4,0,-1,0,0.4444444444444444
2,2,40.0,31.0,7,0,-1,0,0.4444444444444444
2,3,10.0,33.0,8,0,-1,0,0.1111111111111111
2,4,30.0,47.0,8,0,-1,0,0.3333333333333333
2,5,10.0,39.0,9,0,-1,0,0.1111111111111111
2,6,-1,-1,-1,-1,-1,-1,-1
2,7,-1,-1,-1,-1,-1,-1,-1
2,8,-1,-1,-1,-1,-1,-1,-1
2,9,-1,-1,-1,-1,-1,-1,-1
3,0,90.0,30.0,4,1,0,1,1.0
3,1,30.0,24.0,4,0,-1,0,0.3333333333333333
3,2,40.0,32.0,4,0,-1,0,0.4444444444444444
3,3,70.0,33.0,6,0,-1,0,0.7777777777777778
3,4,60.0,40.0,7,0,-1,0,0.6666666666666666
3,5,40.0,38.0,7,0,-1,0,0.4444444444444444
3,6,20.0,30.0,8,0,-1,0,0.2222222222222222
3,7,20.0,45.0,9,0,-1,0,0.2222222222222222
3,8,-1,-1,-1,-1,-1,-1,-1
3,9,-1,-1,-1,-1,-1,-1,-1
4,0,90.0,30.0,4,1,0,1,1.0
4,1,90.0,30.0,4,1,0,1,1.0
4,2,40.0,30.0,5,0,-1,0,0.4444444444444444
4,3,70.0,33.0,6,0,-1,0,0.7777777777777778
4,4,10.0,43.0,7,0,-1,0,0.1111111111111111
4,5,20.0,36.0,7,0,-1,0,0.2222222222222222
4,6,20.0,59.0,9,0,-1,0,0.2222222222222222
4,7,20.0,51.0,11,0,-1,0,0.2222222222222222
4,8,-1,-1,-1,-1,-1,-1,-1
4,9,-1,-1,-1,-1,-1,-1,-1
