generation,ant_id,bandwidth,delay,hops,is_optimal,optimal_index,is_unique_optimal,quality_score
0,0,20.0,37.0,6,0,-1,0,0.2
0,1,20.0,37.0,6,0,-1,0,0.2
0,2,20.0,51.0,8,0,-1,0,0.2
0,3,10.0,56.0,8,0,-1,0,0.1
0,4,10.0,81.0,13,0,-1,0,0.1
0,5,-1,-1,-1,-1,-1,-1,-1
0,6,-1,-1,-1,-1,-1,-1,-1
0,7,-1,-1,-1,-1,-1,-1,-1
0,8,-1,-1,-1,-1,-1,-1,-1
0,9,-1,-1,-1,-1,-1,-1,-1
1,0,20.0,15.0,2,0,-1,0,0.2
1,1,100.0,14.0,4,1,0,1,1.0
1,2,10.0,24.0,4,0,-1,0,0.1
1,3,50.0,20.0,5,0,-1,0,0.5
1,4,50.0,43.0,7,0,-1,0,0.5
1,5,20.0,58.0,9,0,-1,0,0.2
1,6,20.0,65.0,11,0,-1,0,0.2
1,7,-1,-1,-1,-1,-1,-1,-1
1,8,-1,-1,-1,-1,-1,-1,-1
1,9,-1,-1,-1,-1,-1,-1,-1
2,0,100.0,14.0,4,1,0,1,1.0
2,1,100.0,14.0,4,1,0,1,1.0
2,2,50.0,20.0,5,0,-1,0,0.5
2,3,20.0,49.0,6,0,-1,0,0.2
2,4,20.0,41.0,7,0,-1,0,0.2
2,5,10.0,38.0,7,0,-1,0,0.1
2,6,30.0,52.0,9,0,-1,0,0.3
2,7,20.0,49.0,9,0,-1,0,0.2
2,8,20.0,54.0,10,0,-1,0,0.2
2,9,-1,-1,-1,-1,-1,-1,-1
3,0,100.0,14.0,4,1,0,1,1.0
3,1,100.0,14.0,4,1,0,1,1.0
3,2,30.0,35.0,5,0,-1,0,0.3
3,3,50.0,20.0,5,0,-1,0,0.5
3,4,50.0,20.0,5,0,-1,0,0.5
3,5,20.0,44.0,6,0,-1,0,0.2
3,6,10.0,57.0,10,0,-1,0,0.1
3,7,10.0,68.0,10,0,-1,0,0.1
3,8,20.0,80.0,12,0,-1,0,0.2
3,9,-1,-1,-1,-1,-1,-1,-1
4,0,10.0,18.0,3,0,-1,0,0.1
4,1,50.0,18.0,4,0,-1,0,0.5
4,2,100.0,14.0,4,1,0,1,1.0
4,3,50.0,20.0,5,0,-1,0,0.5
4,4,10.0,28.0,6,0,-1,0,0.1
4,5,10.0,51.0,7,0,-1,0,0.1
4,6,-1,-1,-1,-1,-1,-1,-1
4,7,-1,-1,-1,-1,-1,-1,-1
4,8,-1,-1,-1,-1,-1,-1,-1
4,9,-1,-1,-1,-1,-1,-1,-1
