generation,ant_id,bandwidth,delay,hops,is_optimal,optimal_index,is_unique_optimal,quality_score
0,0,40.0,9.0,2,0,-1,0,0.5714285714285714
0,1,40.0,21.0,4,0,-1,0,0.5714285714285714
0,2,70.0,28.0,6,1,0,1,1.0
0,3,10.0,32.0,6,0,-1,0,0.14285714285714285
0,4,30.0,37.0,7,0,-1,0,0.42857142857142855
0,5,20.0,53.0,8,0,-1,0,0.2857142857142857
0,6,10.0,57.0,9,0,-1,0,0.14285714285714285
0,7,10.0,52.0,10,0,-1,0,0.14285714285714285
0,8,40.0,83.0,12,0,-1,0,0.5714285714285714
0,9,-1,-1,-1,-1,-1,-1,-1
1,0,70.0,19.0,4,1,0,1,1.0
1,1,30.0,19.0,4,0,-1,0,0.42857142857142855
1,2,10.0,35.0,5,0,-1,0,0.14285714285714285
1,3,20.0,36.0,5,0,-1,0,0.2857142857142857
1,4,40.0,30.0,6,0,-1,0,0.5714285714285714
1,5,20.0,32.0,6,0,-1,0,0.2857142857142857
1,6,30.0,36.0,7,0,-1,0,0.42857142857142855
1,7,20.0,35.0,7,0,-1,0,0.2857142857142857
1,8,20.0,47.0,9,0,-1,0,0.2857142857142857
1,9,-1,-1,-1,-1,-1,-1,-1
2,0,30.0,10.0,2,0,-1,0,0.42857142857142855
2,1,40.0,9.0,2,0,-1,0,0.5714285714285714
2,2,50.0,7.0,3,0,-1,0,0.7142857142857143
2,3,70.0,33.0,5,1,0,1,1.0
2,4,30.0,35.0,5,0,-1,0,0.42857142857142855
2,5,30.0,35.0,5,0,-1,0,0.42857142857142855
2,6,40.0,17.0,5,0,-1,0,0.5714285714285714
2,7,20.0,42.0,8,0,-1,0,0.2857142857142857
2,8,10.0,51.0,10,0,-1,0,0.14285714285714285
2,9,-1,-1,-1,-1,-1,-1,-1
3,0,30.0,10.0,2,0,-1,0,0.42857142857142855
3,1,30.0,35.0,5,0,-1,0,0.42857142857142855
3,2,20.0,39.0,6,0,-1,0,0.2857142857142857
3,3,50.0,29.0,6,0,-1,0,0.7142857142857143
3,4,70.0,28.0,6,1,0,1,1.0
3,5,20.0,40.0,8,0,-1,0,0.2857142857142857
3,6,20.0,42.0,8,0,-1,0,0.2857142857142857
3,7,40.0,49.0,8,0,-1,0,0.5714285714285714
3,8,10.0,44.0,9,0,-1,0,0.14285714285714285
3,9,-1,-1,-1,-1,-1,-1,-1
4,0,50.0,2.0,2,0,-1,0,0.7142857142857143
4,1,30.0,19.0,4,0,-1,0,0.42857142857142855
4,2,70.0,19.0,4,1,0,1,1.0
4,3,70.0,33.0,5,1,0,1,1.0
4,4,70.0,33.0,5,1,0,1,1.0
4,5,70.0,28.0,6,1,0,1,1.0
4,6,10.0,40.0,7,0,-1,0,0.14285714285714285
4,7,20.0,32.0,8,0,-1,0,0.2857142857142857
4,8,10.0,54.0,8,0,-1,0,0.14285714285714285
4,9,30.0,63.0,9,0,-1,0,0.42857142857142855
