generation,ant_id,bandwidth,delay,hops,is_optimal,optimal_index,is_unique_optimal,quality_score
0,0,10.0,74.0,16,0,-1,0,0.1
0,1,10.0,123.0,22,0,-1,0,0.1
0,2,20.0,194.0,35,0,-1,0,0.2
0,3,10.0,199.0,36,0,-1,0,0.1
0,4,10.0,242.0,41,0,-1,0,0.1
0,5,10.0,239.0,45,0,-1,0,0.1
0,6,10.0,286.0,50,0,-1,0,0.1
0,7,10.0,437.0,73,0,-1,0,0.1
0,8,-1,-1,-1,-1,-1,-1,-1
0,9,-1,-1,-1,-1,-1,-1,-1
1,0,10.0,122.0,21,0,-1,0,0.1
1,1,10.0,160.0,26,0,-1,0,0.1
1,2,10.0,132.0,29,0,-1,0,0.1
1,3,10.0,182.0,31,0,-1,0,0.1
1,4,10.0,209.0,38,0,-1,0,0.1
1,5,10.0,259.0,44,0,-1,0,0.1
1,6,10.0,327.0,57,0,-1,0,0.1
1,7,10.0,383.0,65,0,-1,0,0.1
1,8,-1,-1,-1,-1,-1,-1,-1
1,9,-1,-1,-1,-1,-1,-1,-1
2,0,50.0,24.0,5,0,-1,0,0.5
2,1,30.0,48.0,8,0,-1,0,0.3
2,2,10.0,76.0,12,0,-1,0,0.1
2,3,20.0,68.0,12,0,-1,0,0.2
2,4,10.0,89.0,17,0,-1,0,0.1
2,5,20.0,189.0,40,0,-1,0,0.2
2,6,10.0,261.0,44,0,-1,0,0.1
2,7,-1,-1,-1,-1,-1,-1,-1
2,8,-1,-1,-1,-1,-1,-1,-1
2,9,-1,-1,-1,-1,-1,-1,-1
3,0,50.0,24.0,5,0,-1,0,0.5
3,1,50.0,24.0,5,0,-1,0,0.5
3,2,50.0,24.0,5,0,-1,0,0.5
3,3,30.0,28.0,6,0,-1,0,0.3
3,4,30.0,69.0,13,0,-1,0,0.3
3,5,40.0,80.0,13,0,-1,0,0.4
3,6,20.0,117.0,22,0,-1,0,0.2
3,7,10.0,183.0,36,0,-1,0,0.1
3,8,20.0,258.0,55,0,-1,0,0.2
3,9,-1,-1,-1,-1,-1,-1,-1
4,0,50.0,24.0,5,0,-1,0,0.5
4,1,50.0,24.0,5,0,-1,0,0.5
4,2,30.0,42.0,9,0,-1,0,0.3
4,3,30.0,54.0,9,0,-1,0,0.3
4,4,30.0,98.0,17,0,-1,0,0.3
4,5,30.0,102.0,21,0,-1,0,0.3
4,6,20.0,145.0,26,0,-1,0,0.2
4,7,30.0,143.0,28,0,-1,0,0.3
4,8,20.0,170.0,31,0,-1,0,0.2
4,9,-1,-1,-1,-1,-1,-1,-1
5,0,50.0,24.0,5,0,-1,0,0.5
5,1,50.0,24.0,5,0,-1,0,0.5
5,2,50.0,24.0,5,0,-1,0,0.5
5,3,40.0,56.0,10,0,-1,0,0.4
5,4,40.0,50.0,10,0,-1,0,0.4
5,5,30.0,67.0,10,0,-1,0,0.3
5,6,30.0,84.0,14,0,-1,0,0.3
5,7,20.0,128.0,21,0,-1,0,0.2
5,8,10.0,239.0,47,0,-1,0,0.1
5,9,-1,-1,-1,-1,-1,-1,-1
6,0,50.0,24.0,5,0,-1,0,0.5
6,1,50.0,24.0,5,0,-1,0,0.5
6,2,10.0,61.0,12,0,-1,0,0.1
6,3,40.0,96.0,18,0,-1,0,0.4
6,4,30.0,138.0,29,0,-1,0,0.3
6,5,10.0,166.0,33,0,-1,0,0.1
6,6,30.0,187.0,36,0,-1,0,0.3
6,7,10.0,258.0,54,0,-1,0,0.1
6,8,-1,-1,-1,-1,-1,-1,-1
6,9,-1,-1,-1,-1,-1,-1,-1
7,0,50.0,24.0,5,0,-1,0,0.5
7,1,10.0,23.0,5,0,-1,0,0.1
7,2,50.0,24.0,5,0,-1,0,0.5
7,3,50.0,45.0,8,0,-1,0,0.5
7,4,10.0,66.0,10,0,-1,0,0.1
7,5,20.0,67.0,13,0,-1,0,0.2
7,6,10.0,108.0,20,0,-1,0,0.1
7,7,20.0,124.0,25,0,-1,0,0.2
7,8,10.0,163.0,31,0,-1,0,0.1
7,9,-1,-1,-1,-1,-1,-1,-1
8,0,50.0,24.0,5,0,-1,0,0.5
8,1,50.0,24.0,5,0,-1,0,0.5
8,2,50.0,24.0,5,0,-1,0,0.5
8,3,50.0,24.0,5,0,-1,0,0.5
8,4,50.0,24.0,5,0,-1,0,0.5
8,5,50.0,41.0,6,0,-1,0,0.5
8,6,30.0,109.0,23,0,-1,0,0.3
8,7,10.0,216.0,37,0,-1,0,0.1
8,8,20.0,223.0,47,0,-1,0,0.2
8,9,20.0,313.0,60,0,-1,0,0.2
9,0,70.0,18.0,3,0,-1,0,0.7
9,1,50.0,24.0,5,0,-1,0,0.5
9,2,50.0,24.0,5,0,-1,0,0.5
9,3,50.0,24.0,5,0,-1,0,0.5
9,4,50.0,24.0,5,0,-1,0,0.5
9,5,50.0,24.0,5,0,-1,0,0.5
9,6,40.0,65.0,11,0,-1,0,0.4
9,7,10.0,206.0,40,0,-1,0,0.1
9,8,30.0,301.0,55,0,-1,0,0.3
9,9,10.0,306.0,58,0,-1,0,0.1
10,0,70.0,18.0,3,0,-1,0,0.7
10,1,70.0,18.0,3,0,-1,0,0.7
10,2,50.0,24.0,5,0,-1,0,0.5
10,3,50.0,24.0,5,0,-1,0,0.5
10,4,50.0,24.0,5,0,-1,0,0.5
10,5,50.0,24.0,5,0,-1,0,0.5
10,6,50.0,41.0,6,0,-1,0,0.5
10,7,30.0,52.0,10,0,-1,0,0.3
10,8,40.0,100.0,17,0,-1,0,0.4
10,9,10.0,197.0,32,0,-1,0,0.1
11,0,70.0,11.0,2,0,-1,0,0.7
11,1,70.0,18.0,3,0,-1,0,0.7
11,2,70.0,18.0,3,0,-1,0,0.7
11,3,70.0,18.0,3,0,-1,0,0.7
11,4,40.0,18.0,3,0,-1,0,0.4
11,5,20.0,76.0,12,0,-1,0,0.2
11,6,10.0,58.0,12,0,-1,0,0.1
11,7,60.0,77.0,16,0,-1,0,0.6
11,8,40.0,174.0,34,0,-1,0,0.4
11,9,10.0,291.0,54,0,-1,0,0.1
12,0,70.0,18.0,3,0,-1,0,0.7
12,1,70.0,18.0,3,0,-1,0,0.7
12,2,70.0,18.0,3,0,-1,0,0.7
12,3,70.0,18.0,3,0,-1,0,0.7
12,4,70.0,18.0,3,0,-1,0,0.7
12,5,70.0,18.0,3,0,-1,0,0.7
12,6,70.0,18.0,3,0,-1,0,0.7
12,7,20.0,59.0,11,0,-1,0,0.2
12,8,20.0,160.0,34,0,-1,0,0.2
12,9,10.0,272.0,49,0,-1,0,0.1
